,Greater Capital City,Number of Tweets Made
518,gnarabupgnarabup-prevelly (gnarabupgnarabup-prevelly),2
1398,whyallanorriewhyalla (whyallanorriewhyalla),2
862,morissetmorisset-cooranbong (morissetmorisset-cooranbong),2
18,aberdeendevonport (aberdeendevonport),2
852,mooloolahvalleymooloolah (mooloolahvalleymooloolah),2
758,lucknowbairnsdale (lucknowbairnsdale),2
712,lakeinneslakecathie (lakeinneslakecathie),2
854,moontaminesmoonta (moontaminesmoonta),2
1438,yallahwollongong (yallahwollongong),2
534,greenleighqueanbeyan (greenleighqueanbeyan),2
859,morandingkilmore (morandingkilmore),2
759,ludlowbusselton (ludlowbusselton),2
708,lakebungalakesentrance (lakebungalakesentrance),2
780,manundacairns (manundacairns),2
1418,woodhillcedarvale (woodhillcedarvale),2
864,mortonscreekbeechwood (mortonscreekbeechwood),2
525,goolwasouthvictorharbor-goolwa (goolwasouthvictorharbor-goolwa),2
615,ironbankcrafers-bridgewater (ironbankcrafers-bridgewater),2
1397,whittingtongeelong (whittingtongeelong),2
1219,takuraherveybay (takuraherveybay),1
46,applethorpestanthorpe (applethorpestanthorpe),1
1411,wiseleighbruthen (wiseleighbruthen),1
1215,swanseaheadsnewcastle (swanseaheadsnewcastle),1
1417,wonglepongboyland (wonglepongboyland),1
41,anconamarche (anconamarche),1
43,angledaletarraganda (angledaletarraganda),1
218,buninyongvicaustralia (buninyongvicaustralia),1
214,bundabergcentralbundaberg (bundabergcentralbundaberg),1
1414,wongawallangoldcoast (wongawallangoldcoast),1
216,bungaloratweedheads (bungaloratweedheads),1
1413,womardenthreesprings (womardenthreesprings),1
42,andergrovemackay (andergrovemackay),1
1226,taranganbayeppoon (taranganbayeppoon),1
1230,tarcoolabeachgeraldton (tarcoolabeachgeraldton),1
1409,windellansw (windellansw),1
212,bullaburrabluemountains (bullaburrabluemountains),1
1229,tarbanwallangarra (tarbanwallangarra),1
1228,tarashallhotelechucavic. (tarashallhotelechucavic.),1
211,buffpointcentralcoast (buffpointcentralcoast),1
40,amityamitypoint (amityamitypoint),1
113,belgiangardenstownsville (belgiangardenstownsville),1
1212,surfsidebatemansbay (surfsidebatemansbay),1
1442,yarrajunctionyarrajunction-wesburn (yarrajunctionyarrajunction-wesburn),1
1181,springcreekorange (springcreekorange),1
245,campbellscreekcastlemaine (campbellscreekcastlemaine),1
246,campcreeksouthjohnstone (campcreeksouthjohnstone),1
1178,southtreesgladstone (southtreesgladstone),1
1177,southtownsvilletownsville (southtownsvilletownsville),1
1440,yalyalupbusselton (yalyalupbusselton),1
1176,southtoowoombatoowoomba (southtoowoombatoowoomba),1
1175,southtamworthtamworth (southtamworthtamworth),1
1441,yaroombasunshinecoast (yaroombasunshinecoast),1
248,cannonvaleairliebeach-cannonvale (cannonvaleairliebeach-cannonvale),1
222,burlongnortham (burlongnortham),1
1172,southnanangonanango (southnanangonanango),1
1444,yarravelkempsey (yarravelkempsey),1
249,cannonvalleyairliebeach-cannonvale (cannonvalleyairliebeach-cannonvale),1
17,aberdarecessnock (aberdarecessnock),1
1447,yeocolac (yeocolac),1
16,abbotshamgawler (abbotshamgawler),1
1168,southkolanbundaberg (southkolanbundaberg),1
1166,southhedlandporthedland (southhedlandporthedland),1
1165,southgundagaigundagai (southgundagaigundagai),1
1439,yallournmoe-newborough (yallournmoe-newborough),1
244,camdenheadcamdenhaven (camdenheadcamdenhaven),1
20,adamstownheightsnewcastle (adamstownheightsnewcastle),1
243,camdaleburnie-somerset (camdaleburnie-somerset),1
223,burnsidenambour (burnsidenambour),1
1209,sunshinebaybatemansbay (sunshinebaybatemansbay),1
1208,sunsetbeachgeraldton (sunsetbeachgeraldton),1
1420,woodwarkairliebeach-cannonvale (woodwarkairliebeach-cannonvale),1
1422,woondumgympie (woondumgympie),1
1206,sunnymeadebeachaireysinlet (sunnymeadebeachaireysinlet),1
1424,woongarrahcentralcoast (woongarrahcentralcoast),1
1426,wooriyallockwooriyallock-launchingplace (wooriyallockwooriyallock-launchingplace),1
1200,stowportburnie-somerset (stowportburnie-somerset),1
1198,stoneleighpittsworth (stoneleighpittsworth),1
234,cairnsnorthcairns (cairnsnorthcairns),1
28,akaroastieglitz (akaroastieglitz),1
27,aitkenvaletownsville (aitkenvaletownsville),1
1431,worrolongmountgambier (worrolongmountgambier),1
24,agerolacampania (agerolacampania),1
21,adamstownnewcastle (adamstownnewcastle),1
1434,wulgurutownsville (wulgurutownsville),1
1435,wuulumanwellington (wuulumanwellington),1
1188,stapletondenver (stapletondenver),1
1430,worrigeenowra-bomaderry (worrigeenowra-bomaderry),1
1251,theminemountmorgan (theminemountmorgan),1
208,bucklandparktwowells (bucklandparktwowells),1
1369,westbeachesperance (westbeachesperance),1
1349,warraltamworth (warraltamworth),1
94,barkercreekflatnanango (barkercreekflatnanango),1
93,bargarabargara-innespark (bargarabargara-innespark),1
145,bingieturosshead (bingieturosshead),1
92,barbeachnewcastle (barbeachnewcastle),1
1353,watanobbicentralcoast (watanobbicentralcoast),1
91,baranod'ischiacampania (baranod'ischiacampania),1
150,blackrockingham (blackrockingham),1
152,blackstoneheightslaunceston (blackstoneheightslaunceston),1
153,bletchleystrathalbyn (bletchleystrathalbyn),1
1357,waywayscottshead (waywayscottshead),1
1291,tuncurryforster-tuncurry (tuncurryforster-tuncurry),1
1290,tumbiumbicentralcoast (tumbiumbicentralcoast),1
1359,wellesleyislandsgununa (wellesleyislandsgununa),1
1288,tulkaportlincoln (tulkaportlincoln),1
1361,welsbybongaree-woorim (welsbybongaree-woorim),1
1285,trinityrivergreenbeltparkdallas (trinityrivergreenbeltparkdallas),1
1366,westalburyalbury (westalburyalbury),1
76,bakeryhillballarat (bakeryhillballarat),1
1281,towranggoulburn (towranggoulburn),1
164,bolongnowra-bomaderry (bolongnowra-bomaderry),1
75,bagshotsoutheast (bagshotsoutheast),1
1278,towncommontownsville (towncommontownsville),1
95,barkerscreekcastlemaine (barkerscreekcastlemaine),1
133,berraraberrara-cudmirrah (berraraberrara-cudmirrah),1
96,barmaryeeyeppoon (barmaryeeyeppoon),1
105,bathumiyarrawonga (bathumiyarrawonga),1
1328,wallacemanitoba (wallacemanitoba),1
110,beechergladstone (beechergladstone),1
1326,wagstaffecentralcoast (wagstaffecentralcoast),1
1324,wadalbacentralcoast (wadalbacentralcoast),1
1335,wandinvic (wandinvic),1
1322,vicoequensecampania (vicoequensecampania),1
107,bauplebaupleforest (bauplebaupleforest),1
106,batteryhillsunshinecoast (batteryhillsunshinecoast),1
125,belmontsouthnewcastle (belmontsouthnewcastle),1
1338,wangandarywangaratta (wangandarywangaratta),1
102,basscoronetbay (basscoronetbay),1
1308,uxbridgeontario (uxbridgeontario),1
1318,veresdalegleneagle (veresdalegleneagle),1
1317,verduncrafers-bridgewater (verduncrafers-bridgewater),1
1316,verbaniapiedmont (verbaniapiedmont),1
1342,warangashoresrushworth (warangashoresrushworth),1
99,barrackpointwollongong (barrackpointwollongong),1
1315,vectishorsham (vectishorsham),1
97,barneypointgladstone (barneypointgladstone),1
128,bendolbadungog (bendolbadungog),1
1311,vancouverpeninsulalittlegrove (vancouverpeninsulalittlegrove),1
251,cantonbeachcentralcoast (cantonbeachcentralcoast),1
168,bondoolayeppoon (bondoolayeppoon),1
74,bagshotbendigo (bagshotbendigo),1
1404,willungasouthwillunga (willungasouthwillunga),1
71,backbayboston (backbayboston),1
1255,theridgewayqueanbeyan (theridgewayqueanbeyan),1
1254,theresaparkcobbitty (theresaparkcobbitty),1
1253,therangeskarratha (therangeskarratha),1
1252,theparksregencypark (theparksregencypark),1
117,bellbaygeorgetown (bellbaygeorgetown),1
1392,whitebridgenewcastle (whitebridgenewcastle),1
1393,whitehillsbendigo (whitehillsbendigo),1
1249,thehillnewcastle (thehillnewcastle),1
1248,thegurdiespioneerbay (thegurdiespioneerbay),1
199,brockmancarnarvon (brockmancarnarvon),1
52,armstrongcreekdayboro (armstrongcreekdayboro),1
1245,theentrancenorthcentralcoast (theentrancenorthcentralcoast),1
1243,thedawngympie (thedawngympie),1
201,bromeltonbeaudesert (bromeltonbeaudesert),1
204,broomekimberley&beyond (broomekimberley&beyond),1
1239,terranoratweedheads (terranoratweedheads),1
1401,willbriggiedarlingtonpoint (willbriggiedarlingtonpoint),1
205,brownhillballarat (brownhillballarat),1
206,brownlowhillcobbitty (brownlowhillcobbitty),1
1236,tennysonglossodia (tennysonglossodia),1
207,buckarooputtabucca-bombira (buckarooputtabucca-bombira),1
48,araluengympie (araluengympie),1
1234,tattersallsnewmarket (tattersallsnewmarket),1
54,arrinothreesprings (arrinothreesprings),1
196,broadlandseaglepoint (broadlandseaglepoint),1
1257,thevinesellenbrook (thevinesellenbrook),1
187,braemarbowral-mittagong (braemarbowral-mittagong),1
70,babbageislandcarnarvon (babbageislandcarnarvon),1
69,aylmertonbowral-mittagong (aylmertonbowral-mittagong),1
68,avonwollongong (avonwollongong),1
171,bonnellsbaymorisset-cooranbong (bonnellsbaymorisset-cooranbong),1
174,boodarieporthedland (boodarieporthedland),1
66,avenellheightsbundaberg (avenellheightsbundaberg),1
177,booragulnewcastle (booragulnewcastle),1
182,bowesnorthampton (bowesnorthampton),1
185,boyneislandtannumsands-boyneisland (boyneislandtannumsands-boyneisland),1
1269,tolgatolga-west (tolgatolga-west),1
1266,tionaelizabethbeach (tionaelizabethbeach),1
192,bridgenorthgrindelwald (bridgenorthgrindelwald),1
1382,westpingellypingelly (westpingellypingelly),1
1383,westpinjarrapinjarra (westpinjarrapinjarra),1
188,braitlingalicesprings (braitlingalicesprings),1
1264,timbumburikingswood (timbumburikingswood),1
1263,tilligerrycreeksaltash (tilligerrycreeksaltash),1
1386,westulverstoneulverstone (westulverstoneulverstone),1
190,braunstonecouttscrossing (braunstonecouttscrossing),1
191,breakwatergeelong (breakwatergeelong),1
1389,westwollongongwollongong (westwollongongwollongong),1
1259,thomsongeelong (thomsongeelong),1
1164,southgraftongrafton (southgraftongrafton),1
691,koorainghatrainbowflat (koorainghatrainbowflat),1
1162,southernmoretonbayislandsjacobswell (southernmoretonbayislandsjacobswell),1
475,fivepointsdenver (fivepointsdenver),1
562,hamlynheightsgeelong (hamlynheightsgeelong),1
560,hamiltonplainsproserpine (hamiltonplainsproserpine),1
838,moaislandstpauls (moaislandstpauls),1
552,gwandalansummerlandpoint-gwandalan (gwandalansummerlandpoint-gwandalan),1
550,gurragurraberri (gurragurraberri),1
845,monklandgympie (monklandgympie),1
547,gummascottshead (gummascottshead),1
847,montelloburnie-somerset (montelloburnie-somerset),1
543,guerillabaytomakin (guerillabaytomakin),1
542,guanabamountnathan (guanabamountnathan),1
538,gresfordwales (gresfordwales),1
535,greenmountwalkerston (greenmountwalkerston),1
528,gormanshillbathurst (gormanshillbathurst),1
861,morgantowncarnarvon (morgantowncarnarvon),1
863,morningtonmountisa (morningtonmountisa),1
833,miramaralbany (miramaralbany),1
831,minoricampania (minoricampania),1
827,millbridgebunbury (millbridgebunbury),1
587,highstreetrandwick (highstreetrandwick),1
803,mcleodsshootewingsdale (mcleodsshootewingsdale),1
804,mcminnslagoonhumptydoo (mcminnslagoonhumptydoo),1
805,medalombardia (medalombardia),1
591,hindmarshislandvictorharbor-goolwa (hindmarshislandvictorharbor-goolwa),1
590,hilliergawler (hilliergawler),1
813,merislandmer(murray)island (merislandmer(murray)island),1
579,hermitparktownsville (hermitparktownsville),1
569,hatfieldeast (hatfieldeast),1
818,merricksbeachbalnarring-balnarringbeach (merricksbeachbalnarring-balnarringbeach),1
577,hepburndaylesford-hepburnsprings (hepburndaylesford-hepburnsprings),1
821,metropetroleumwollongong (metropetroleumwollongong),1
570,havenhorsham (havenhorsham),1
823,middlearmgoulburn (middlearmgoulburn),1
824,middlesexmanjimup (middlesexmanjimup),1
524,goolwanorthvictorharbor-goolwa (goolwanorthvictorharbor-goolwa),1
522,golgolburonga (golgolburonga),1
873,mountjohnsalicesprings (mountjohnsalicesprings),1
911,narngulugeraldton (narngulugeraldton),1
902,murrumburrahharden-murrumburrah (murrumburrahharden-murrumburrah),1
491,gawlerrivergawler (gawlerrivergawler),1
904,myrupesperance (myrupesperance),1
905,myunabaynewcastle (myunabaynewcastle),1
490,gawlereastgawler (gawlereastgawler),1
489,gawlerbeltgawler (gawlerbeltgawler),1
912,narrawalleeulladulla (narrawalleeulladulla),1
899,murraybridgenorthmurraybridge (murraybridgenorthmurraybridge),1
488,gavengoldcoast (gavengoldcoast),1
485,garbutttownsville (garbutttownsville),1
482,fredericksfieldhomehill (fredericksfieldhomehill),1
478,flowerygullybeaconsfield (flowerygullybeaconsfield),1
925,newlambtonheightsnewcastle (newlambtonheightsnewcastle),1
477,flintwales (flintwales),1
901,murraytownsville (murraytownsville),1
496,georgetownnewcastle (georgetownnewcastle),1
516,glenvaletoowoomba (glenvaletoowoomba),1
882,mountpleasantballarat (mountpleasantballarat),1
876,mountkynochbluemountainheights (mountkynochbluemountainheights),1
515,glenroyalbury (glenroyalbury),1
878,mountlouisatownsville (mountlouisatownsville),1
513,glenriddingsingleton (glenriddingsingleton),1
880,mountmellumlandsborough (mountmellumlandsborough),1
881,mountousleywollongong (mountousleywollongong),1
512,glenningvalleycentralcoast (glenningvalleycentralcoast),1
500,gillenalicesprings (gillenalicesprings),1
885,mounttarcoolageraldton (mounttarcoolageraldton),1
507,glastonburythepalms (glastonburythepalms),1
889,mourquongburonga (mourquongburonga),1
504,gladstoneaustralia (gladstoneaustralia),1
502,gilstongoldcoast (gilstongoldcoast),1
501,gillenbahnarrandera (gillenbahnarrandera),1
592,hitachienergyfortitudevalley (hitachienergyfortitudevalley),1
593,holgatecentralcoast (holgatecentralcoast),1
800,mckenziecreekhorsham (mckenziecreekhorsham),1
660,kawanarockhampton (kawanarockhampton),1
669,kiambakureelpa (kiambakureelpa),1
667,kewarrabeachcairns (kewarrabeachcairns),1
666,kensingtongrovekensingtongrove-regencydowns (kensingtongrovekensingtongrove-regencydowns),1
663,kelsobathurst (kelsobathurst),1
662,keiravillewollongong (keiravillewollongong),1
661,kearsleycessnock (kearsleycessnock),1
736,lillipillimaluabay (lillipillimaluabay),1
721,lakewoodcamdenhaven (lakewoodcamdenhaven),1
655,karangicoffsharbour (karangicoffsharbour),1
654,karabarqueanbeyan (karabarqueanbeyan),1
739,linthorpepittsworth (linthorpepittsworth),1
740,lisarowcentralcoast (lisarowcentralcoast),1
653,kapookawaggawagga (kapookawaggawagga),1
742,littlemulgravegoldsborough (littlemulgravegoldsborough),1
722,lakewyangangriffith (lakewyangangriffith),1
677,kingsburyvicaustralia (kingsburyvicaustralia),1
649,kaltukatjarakaltukatjara(dockerriver) (kaltukatjarakaltukatjara(dockerriver)),1
702,lachlannewnorfolk (lachlannewnorfolk),1
695,kulangoornambour (kulangoornambour),1
696,kuluinsunshinecoast (kuluinsunshinecoast),1
688,koonawarrawollongong (koonawarrawollongong),1
686,kokotungobaralaba (kokotungobaralaba),1
685,kioloabawleypoint (kioloabawleypoint),1
684,kinkoragladstone (kinkoragladstone),1
683,kingswoodtamworth (kingswoodtamworth),1
713,lakemacdonaldforestacres (lakemacdonaldforestacres),1
682,kingstononmurraycobdogla (kingstononmurraycobdogla),1
681,kingsmeadowslaunceston (kingsmeadowslaunceston),1
706,lakealbertwaggawagga (lakealbertwaggawagga),1
680,kingsholmegoldcoast (kingsholmegoldcoast),1
709,lakegardensballarat (lakegardensballarat),1
710,lakehavencentralcoast (lakehavencentralcoast),1
652,kanwalcentralcoast (kanwalcentralcoast),1
748,longbeachbatemansbay (longbeachbatemansbay),1
799,mcilwraithgingin (mcilwraithgingin),1
605,illowawarrnambool (illowawarrnambool),1
614,invermayparkballarat (invermayparkballarat),1
781,marbelupalbany (marbelupalbany),1
782,marburghotelqldau (marburghotelqldau),1
610,inglewoodinglewood(vic.) (inglewoodinglewood(vic.)),1
785,mardellamundijong (mardellamundijong),1
607,improvementdistrictno.13elkislandalberta (improvementdistrictno.13elkislandalberta),1
604,ilfordlondon (ilfordlondon),1
618,ironstonepenneshaw (ironstonepenneshaw),1
601,hunterviewsingleton (hunterviewsingleton),1
793,maryboroughmaryborough(vic.) (maryboroughmaryborough(vic.)),1
794,maryvillenewcastle (maryvillenewcastle),1
795,masigislandyorkeisland (masigislandyorkeisland),1
598,horsfieldbaycentralcoast (horsfieldbaycentralcoast),1
797,mayfieldwestnewcastle (mayfieldwestnewcastle),1
777,mandorahwagaitbeach-mandorah (mandorahwagaitbeach-mandorah),1
775,mallabulatanilbabay (mallabulatanilbabay),1
646,kalbeebagawler (kalbeebagawler),1
760,lyrupberri (lyrupberri),1
641,junabeewarwick (junabeewarwick),1
640,jubileepocketairliebeach-cannonvale (jubileepocketairliebeach-cannonvale),1
639,joneshillgympie (joneshillgympie),1
638,jollynosebonnyhills-west (jollynosebonnyhills-west),1
755,lowerinmanvalleyvictorharbor-goolwa (lowerinmanvalleyvictorharbor-goolwa),1
637,jitarningkulin (jitarningkulin),1
764,macmastersbeachcentralcoast (macmastersbeachcentralcoast),1
621,ischiacampania (ischiacampania),1
765,macquariehillsnewcastle (macquariehillsnewcastle),1
767,magranewnorfolk (magranewnorfolk),1
768,maidengullybendigo (maidengullybendigo),1
625,jackassflatbendigo (jackassflatbendigo),1
624,islingtonnewcastle (islingtonnewcastle),1
772,mainstreetdistrictdallas (mainstreetdistrictdallas),1
476,flinderswollongong (flinderswollongong),1
472,fimistonkalgoorlie-boulder (fimistonkalgoorlie-boulder),1
253,carabanwoodridgeestate (carabanwoodridgeestate),1
932,newtownkadina (newtownkadina),1
325,coopersshootbyronbay (coopersshootbyronbay),1
1088,robiganagravellybeach (robiganagravellybeach),1
317,cookshillnewcastle (cookshillnewcastle),1
1090,robinvaleirrigationdistrictsectionbrobinvale (robinvaleirrigationdistrictsectionbrobinvale),1
313,coninghamlowersnug-coningham (coninghamlowersnug-coningham),1
1093,rockvilletoowoomba (rockvilletoowoomba),1
1095,rockymountainhousealberta (rockymountainhousealberta),1
1096,rockypointwongabeach (rockypointwongabeach),1
1097,rockyviewcountyalberta (rockyviewcountyalberta),1
310,collombattikempsey (collombattikempsey),1
1100,rosebrookportfairy (rosebrookportfairy),1
1101,rosedaletomakin (rosedaletomakin),1
1102,rosemountnambour (rosemountnambour),1
1103,roseneathtownsville (roseneathtownsville),1
1104,rosenthalheightswarwick (rosenthalheightswarwick),1
329,cordeauxheightswollongong (cordeauxheightswollongong),1
332,corneytownlithgow (corneytownlithgow),1
334,corringlemarlo (corringlemarlo),1
1066,raleighurunga (raleighurunga),1
355,curticampania (curticampania),1
1055,potteryestatelithgow (potteryestatelithgow),1
1057,prettybeachkioloa (prettybeachkioloa),1
1061,questapartmentswerribee (questapartmentswerribee),1
1063,qunabaslopinghummock (qunabaslopinghummock),1
1065,racecoursemackay (racecoursemackay),1
1067,randwickclovellyrdnrfrenchmansrd(2031103) (randwickclovellyrdnrfrenchmansrd(2031103)),1
1080,renmarkwestrenmark (renmarkwestrenmark),1
344,crohamhurstpeachester (crohamhurstpeachester),1
343,creswicknorthcreswick (creswicknorthcreswick),1
339,craiglieportdouglas-craiglie (craiglieportdouglas-craiglie),1
336,cowirramannum (cowirramannum),1
1076,redlynchcairns (redlynchcairns),1
1078,renmarknorthrenmark (renmarknorthrenmark),1
309,collinspemberton (collinspemberton),1
1106,rossalicesprings (rossalicesprings),1
307,coescreeknambour (coescreeknambour),1
1148,sladepointmackay (sladepointmackay),1
267,castawaysbeachsunshinecoast (castawaysbeachsunshinecoast),1
266,carrscreekgrafton (carrscreekgrafton),1
1141,shorewellparkburnie-somerset (shorewellparkburnie-somerset),1
1143,silverleavescowes (silverleavescowes),1
1144,singletonheightssingleton (singletonheightssingleton),1
261,careyparkbunbury (careyparkbunbury),1
260,careygullyuraidla-summertown (careygullyuraidla-summertown),1
274,chaffeytheatrerenmark (chaffeytheatrerenmark),1
1151,snugelectrona (snugelectrona),1
1152,solomonkimba (solomonkimba),1
1155,sorellcreeknewnorfolk (sorellcreeknewnorfolk),1
1157,southalburyalbury (southalburyalbury),1
1158,southamptongrafton (southamptongrafton),1
1159,southboulderkalgoorlie-boulder (southboulderkalgoorlie-boulder),1
272,centennialparkalbany (centennialparkalbany),1
1136,shellharbourcitycentrewollongong (shellharbourcitycentrewollongong),1
304,cobakilakestweedheads (cobakilakestweedheads),1
289,chinderahtweedheads (chinderahtweedheads),1
297,cliftonspringsdrysdale-cliftonsprings (cliftonspringsdrysdale-cliftonsprings),1
1112,russellvalewollongong (russellvalewollongong),1
1113,ryeaustralia (ryeaustralia),1
293,clarencelithgow (clarencelithgow),1
1115,salamanderbaysalamanderbay-soldierspoint (salamanderbaysalamanderbay-soldierspoint),1
292,clagirabamountnathan (clagirabamountnathan),1
1123,sandycreekcockatoovalley (sandycreekcockatoovalley),1
1132,seppingsalbany (seppingsalbany),1
1124,sandygullynorthampton (sandygullynorthampton),1
284,cheeropointmooneymooney (cheeropointmooneymooney),1
283,charlwoodsoutheast (charlwoodsoutheast),1
282,charltongowriemountain (charltongowriemountain),1
279,charleroibelgique (charleroibelgique),1
275,chancebaywhitsundays (chancebaywhitsundays),1
1052,portsmithcairns (portsmithcairns),1
357,dalcouthstanthorpe (dalcouthstanthorpe),1
1049,portmacquairensw (portmacquairensw),1
969,norwellgoldcoast (norwellgoldcoast),1
961,northtamworthtamworth (northtamworthtamworth),1
448,erudgeremudgee (erudgeremudgee),1
964,northwaggawaggawaggawagga (northwaggawaggawaggawagga),1
965,northwalpolewalpole (northwalpolewalpole),1
443,empirebaycentralcoast (empirebaycentralcoast),1
442,emeraldbeachemeraldbeachwest (emeraldbeachemeraldbeachwest),1
431,edgeworthnewcastle (edgeworthnewcastle),1
454,evansplainsbathurst (evansplainsbathurst),1
430,edgehillcairns (edgehillcairns),1
428,eastwardellwardell (eastwardellwardell),1
975,o'connellstreetparramatta (o'connellstreetparramatta),1
426,eastwaggawaggawaggawagga (eastwaggawaggawaggawagga),1
985,oldpierbeachbridport (oldpierbeachbridport),1
416,eastgeelonggeelong (eastgeelonggeelong),1
453,euthullaroma (euthullaroma),1
956,northmoontamoonta (northmoontamoonta),1
992,ormeauhillsgoldcoast (ormeauhillsgoldcoast),1
465,fassifernnewcastle (fassifernnewcastle),1
471,figtreewollongong (figtreewollongong),1
934,niagaraparkcentralcoast (niagaraparkcentralcoast),1
936,nobbyscreekmurwillumbah (nobbyscreekmurwillumbah),1
470,feysvillekambaldaeast (feysvillekambaldaeast),1
468,fernbaynewcastle (fernbaynewcastle),1
467,fernbankcreekportmacquarie (fernbankcreekportmacquarie),1
464,farnboroughyeppoon (farnboroughyeppoon),1
953,northisisappletreecreek (northisisappletreecreek),1
459,fairybowerrockhampton (fairybowerrockhampton),1
458,fairhavenaireysinlet-fairhaven (fairhavenaireysinlet-fairhaven),1
949,northbendigobendigo (northbendigobendigo),1
950,northdownportsorell (northdownportsorell),1
457,evironnunderi (evironnunderi),1
952,northgosfordcentralcoast (northgosfordcentralcoast),1
990,orientpointculburrabeach-orientpoint (orientpointculburrabeach-orientpoint),1
412,eastcamburnie-somerset (eastcamburnie-somerset),1
358,dalyellupbunbury (dalyellupbunbury),1
380,dickybeachsunshinecoast (dickybeachsunshinecoast),1
1025,pictoneastbunbury (pictoneastbunbury),1
385,djugunbroome (djugunbroome),1
1030,pinnaclestownsville (pinnaclestownsville),1
382,dingupmanjimup (dingupmanjimup),1
381,diddillibahsunshinecoast (diddillibahsunshinecoast),1
1034,pointfrederickcentralcoast (pointfrederickcentralcoast),1
1037,pointvernonherveybay (pointvernonherveybay),1
387,dolphinheadsmackay (dolphinheadsmackay),1
378,devonportauckland (devonportauckland),1
1040,portalbanyalbany (portalbanyalbany),1
375,degarrawujalwujal (degarrawujalwujal),1
374,deeraguntownsville (deeraguntownsville),1
1045,porthughesmoonta (porthughesmoonta),1
372,deepdalegeraldton (deepdalegeraldton),1
386,doctorsrockswynyard (doctorsrockswynyard),1
388,dombartonwollongong (dombartonwollongong),1
996,overlandcornercobdogla (overlandcornercobdogla),1
397,drouinwestdrouin (drouinwestdrouin),1
411,eastbunburybunbury (eastbunburybunbury),1
998,oxleyvaletamworth (oxleyvaletamworth),1
999,pacificparadisesunshinecoast (pacificparadisesunshinecoast),1
410,eastbendigobendigo (eastbendigobendigo),1
1001,pagetmackay (pagetmackay),1
402,dunbiblemurwillumbah (dunbiblemurwillumbah),1
395,dromealbany (dromealbany),1
390,dondingalongkempsey (dondingalongkempsey),1
1011,paynedaledonnybrook (paynedaledonnybrook),1
393,doyalsoncentralcoast (doyalsoncentralcoast),1
1013,pearsondalesale (pearsondalesale),1
1014,peedamullaonslow (peedamullaonslow),1
391,doonandoonan-tinbeerwah (doonandoonan-tinbeerwah),1
1018,pelicanwaterssunshinecoast (pelicanwaterssunshinecoast),1
726,launchingplacewooriyallock-launchingplace (launchingplacewooriyallock-launchingplace),1
